Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
17/05/2026,Atalanta,Bologna,,,,,
17/05/2026,Cagliari,Torino,,,,,
17/05/2026,Como,Parma,,,,,
17/05/2026,Genoa,Milan,,,,,
17/05/2026,Inter,Verona,,,,,
17/05/2026,Juventus,Fiorentina,,,,,
17/05/2026,Pisa,Napoli,,,,,
17/05/2026,Roma,Lazio,,,,,
17/05/2026,Sassuolo,Lecce,,,,,
17/05/2026,Udinese,Cremonese,,,,,
24/05/2026,Bologna,Inter,,,,,
24/05/2026,Cremonese,Como,,,,,
24/05/2026,Fiorentina,Atalanta,,,,,
24/05/2026,Lazio,Pisa,,,,,
24/05/2026,Lecce,Genoa,,,,,
24/05/2026,Milan,Cagliari,,,,,
24/05/2026,Napoli,Udinese,,,,,
24/05/2026,Parma,Sassuolo,,,,,
24/05/2026,Torino,Juventus,,,,,
24/05/2026,Verona,Roma,,,,,
